"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-02-23",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-02-24",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-02-25",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-02-26",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-02-27",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-02-28",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-01",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-02",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-03",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-04",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-05",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-06",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-07",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-08",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-09",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-10",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-11",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-12",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-13",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-14",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-15",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-16",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-17",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-18",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-19",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-20",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-21",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-22",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-23",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-24",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-25",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-26",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-27",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-28",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-29",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-30",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-03-31",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-01",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-02",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-03",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-04",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-05",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-06",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-07",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-08",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-09",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-10",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-11",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-12",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-13",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-14",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-15",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-16",,,,,,,,,,,,,
